id,record_id,sample_id,name,start_datetime,sample_datetime,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma,blink_strength,signal_noise
101,12,101,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:35.104593,75,75,2925.0,1216.0,374.0,275.0,198.0,88.0,38.0,24.0,97,25
102,12,102,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:36.105593,75,75,907781.0,488457.0,173666.0,33869.0,87589.0,106359.0,88305.0,15169.0,97,51
103,12,103,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:37.106593,75,75,1701945.0,816789.0,196314.0,135313.0,123205.0,46709.0,25638.0,2383.0,97,25
104,12,104,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:38.107593,75,75,705656.0,146256.0,159412.0,102933.0,163398.0,184157.0,69092.0,47836.0,97,51
105,12,105,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:39.108593,75,75,190344.0,156823.0,6744.0,12194.0,17980.0,14806.0,8632.0,2305.0,97,25
106,12,106,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:40.109593,75,75,235037.0,20957.0,12810.0,15377.0,9674.0,26595.0,15643.0,5659.0,97,26
107,12,107,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:41.110594,75,75,741865.0,70209.0,39388.0,23547.0,35738.0,15461.0,23229.0,13354.0,97,26
108,12,108,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:42.111593,75,75,2156729.0,224135.0,61289.0,61919.0,64932.0,185428.0,72607.0,22303.0,97,26
109,12,109,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:43.112592,75,75,2156729.0,224135.0,61289.0,61919.0,64932.0,185428.0,72607.0,22303.0,60,26
110,12,110,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:44.113593,75,75,2268199.0,1478162.0,498644.0,64334.0,262223.0,386576.0,132267.0,54152.0,255,51
111,12,111,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:45.114593,75,75,800000.0,30659.0,3636.0,5551.0,3795.0,5422.0,1406.0,513.0,255,51
112,12,112,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:46.115593,87,69,712504.0,200089.0,82394.0,43931.0,134591.0,57621.0,43824.0,26034.0,255,0
113,12,113,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:47.116593,87,69,1713299.0,1302498.0,327471.0,151976.0,122101.0,540930.0,269961.0,16137.0,255,26
114,12,114,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:48.117593,87,69,215481.0,69362.0,21701.0,12668.0,8026.0,27906.0,6878.0,5032.0,105,26
115,12,115,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:49.118594,83,63,919536.0,1070625.0,548351.0,70270.0,167145.0,168012.0,257645.0,58039.0,173,0
116,12,116,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:50.119594,75,64,1251609.0,493561.0,186003.0,315061.0,160466.0,178307.0,69460.0,55926.0,173,0
117,12,117,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:51.120594,75,64,2306719.0,1007018.0,117576.0,89539.0,118830.0,131289.0,46118.0,15897.0,173,26
118,12,118,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:52.121592,75,64,939085.0,113339.0,65540.0,44238.0,31299.0,81590.0,25573.0,12332.0,74,26
119,12,119,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:53.122592,61,61,1722495.0,391052.0,100219.0,59123.0,45423.0,104898.0,93852.0,75161.0,81,0
120,12,120,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:54.123594,67,51,2685143.0,148216.0,2910.0,48981.0,62112.0,65986.0,24800.0,2569.0,55,0
121,12,121,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:55.124593,67,47,2408102.0,257867.0,44699.0,60020.0,61390.0,35677.0,58096.0,4232.0,47,0
122,12,122,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:56.125594,61,24,736832.0,269522.0,14050.0,40293.0,90116.0,28179.0,16104.0,1798.0,64,0
123,12,123,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:57.126593,61,24,616278.0,15120.0,2966.0,1607.0,3432.0,3147.0,825.0,504.0,64,25
124,12,124,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:58.127594,61,24,654618.0,61447.0,24795.0,25183.0,19740.0,24511.0,5578.0,4912.0,64,51
125,12,125,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:59.128592,61,24,106105.0,11909.0,7493.0,6705.0,11393.0,16535.0,2214.0,1526.0,64,25
126,12,126,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:00.129593,61,24,1043154.0,893595.0,198484.0,356964.0,158106.0,130625.0,45216.0,46025.0,64,26
127,12,127,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:01.130593,61,24,2379139.0,472062.0,6209.0,155509.0,104432.0,115975.0,51436.0,18068.0,64,26
128,12,128,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:02.131592,61,24,842208.0,66150.0,22937.0,4089.0,22805.0,58254.0,14107.0,2037.0,74,26
129,12,129,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:03.132594,61,24,561038.0,30226.0,20015.0,4513.0,10078.0,14780.0,7354.0,4917.0,74,51
130,12,130,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:04.133593,61,24,561038.0,30226.0,20015.0,4513.0,10078.0,14780.0,7354.0,4917.0,74,51
131,12,131,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:05.134593,56,30,65977.0,8640.0,3661.0,3344.0,5503.0,1933.0,470.0,93.0,74,0
132,12,132,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:06.135593,56,38,784471.0,39061.0,10980.0,8430.0,11870.0,22485.0,11602.0,1249.0,74,0
133,12,133,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:07.136593,56,38,784471.0,39061.0,10980.0,8430.0,11870.0,22485.0,11602.0,1249.0,125,0
134,12,134,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:08.137593,60,50,1481790.0,54451.0,29052.0,56888.0,43942.0,17810.0,23153.0,6723.0,42,0
135,12,135,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:09.138593,60,53,890600.0,108269.0,7017.0,20412.0,19500.0,11887.0,12304.0,1530.0,137,0
136,12,136,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:10.139593,69,53,1732837.0,128784.0,48520.0,69769.0,77933.0,85493.0,17872.0,11063.0,99,0
137,12,137,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:11.140593,69,53,585714.0,162693.0,38228.0,39259.0,36700.0,29220.0,5323.0,3382.0,147,26
138,12,138,sample-data,2013.11.20 14:57:51.615,2013.11.20 15:00:12.141593,69,53,201784.0,5173.0,411.0,1607.0,1673.0,789.0,1076.0,478.0,147,51
